"chl","LMA","N","S"
211.8666667,45.4887309305768,1.81,0.14
473.4,64.942722908924,3.17,0.34
559.3,63.5642835636145,3.48,0.32
221.8777778,60.603816324374,1.72,0.12
328.3777778,65.7314571197308,2.26,0.14
416.9222222,54.5576261239608,1.84,0.16
509.4,57.2392353214271,3.55,0.36
283.8,52.8361670504843,1.48,0.1
525.8,43.7823162272968,2.6,0.24
541.9555556,67.8357225755662,2.93,0.18
229.2222222,45.8761330933313,1.67,0.1
265.6777778,54.677613463094,1.97,0.14
312.6,65.5070837424604,1.93,0.12
326.5444444,69.047852997935,2.03,0.17
595.4,59.1511680451681,3.76,0.38
332.4222222,56.7103748228116,2.48,0.17
287.5222222,59.6857026688825,1.6,0.13
596.9444444,69.0363366419705,3.22,0.17
347.1,54.4908812738858,2.6,0.15
598.7,53.3977900099081,3.46,0.42
556.5,51.3254669559236,3.5,0.54
588.5,70.3187742274104,3.65,0.36
452.8666667,61.641416543347,2.53,0.14
376.3555556,54.79211053246,2.6,0.17
180.8222222,61.4274196644527,1.31,0.1
236.4888889,56.7398037531558,1.95,0.11
249.9333333,50.1516939225887,1.48,0.11
320.8,51.5928590975677,2.99,0.27
493.9,72.682119335249,3.25,0.26
230.5888889,52.732591572329,1.47,0.13
410.1,53.0217140283673,3.31,0.32
344.3111111,55.8796814359868,2.05,0.18
421.4111111,52.2503345449475,2.72,0.15
320.5555556,62.8933608056902,1.77,0.15
526.4,57.5025309212553,2.8,0.28
435.4888889,69.5226258590979,2.91,0.2
167.7222222,53.0324857739682,1.25,0.12
269.8666667,57.6009479470291,1.62,0.15
554.2,72.3129229120533,3.72,0.7
251.6222222,55.2706490307345,1.92,0.12
547.7,48.2520489077819,3.69,0.34
251.0222222,57.2516575874464,1.76,0.13
583.9,55.6034972407512,3.42,0.47
515.3,54.0886821434551,3.25,0.32
446.8555556,68.3428163854172,2.7,0.17
445.3,54.7375940560502,2.59,0.17
107.9,70.2348364788935,1.27,0.25
380.4222222,71.8636516771441,2.01,0.13
545,54.6590727929209,3.5,0.39
335.6444444,55.9708927565575,2.4,0.16
479.5777778,54.1854287578932,2.78,0.17
349.1,37.318176412452,2.25,0.44
421.7,61.3527464736448,3.17,0.22
223.1333333,43.5521726312404,1.57,0.13
412.7666667,60.2849823907758,2.29,0.14
424.5,67.6969944073051,2.39,0.33
273.3333333,61.9900137410019,1.36,0.1
428.9,68.5852728714071,2.94,0.25
297.8222222,57.0987152789062,2.02,0.14
364.5555556,49.0647001138379,2.24,0.17
393.1666667,55.1329079766702,2.56,0.15
354.8222222,53.6900370609186,2.41,0.17
405.9666667,65.662014162935,2.63,0.15
210.3777778,55.5508193745858,1.24,0.15
357.3111111,60.978051988285,2.37,0.14
475.5,40.421272883716,2.9,0.35
637.7,58.8602139989209,4.17,0.4
332.4222222,52.6400358856079,2.53,0.15
429.0555556,47.5040601224438,3.04,0.17
287.9444444,63.0508136937723,1.74,0.14
412.5333333,58.4558658213049,2.55,0.18
544.1888889,61.5494102316277,3.5,0.2
232.7222222,58.8175747611518,1.5,0.11
556.8,71.5235387939701,2.6,0.35
262.9022222,55.5519002164609,1.91,0.16
425.9,52.9241122872515,2.48,0.39
542.2,56.2848353022521,4.21,0.73
416.0333333,60.2689998463562,2.47,0.14
465.3,51.145951812782,3.2,0.3
240.2777778,52.3170455786387,1.8,0.11
285.3666667,61.0208322624704,1.95,0.16
379.1111111,58.3175654869017,2.64,0.16
267.4666667,60.3911534412227,2.02,0.14
571.6888889,61.0167262802488,3.14,0.19
459.6,58.6562597918948,2.69,0.14
292.7666667,59.2246843706608,2.32,0.18
337.2888889,47.1029620177239,2.92,0.16
239.2333333,54.7404527311187,2.78,0.12
312.0333333,50.0698511949754,1.9,0.14
213.5777778,55.9661142147941,1.25,0.1
